FLUKE 289;  V1.16;  32760112 Ammann

To display full timestamps use Format Cells �m/d/y hh:mm:ss.0'

Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
25.08.2020 20:03:28;25.08.2020 20:13:26;0:09:58;0:00:01;606;599;14;Circuit 1
Max Time;Max;Average;Min;Min Time;Scaling;
25.08.2020 20:03:40;5,4262 A AC;3,8067 A AC;0,0000 A AC;25.08.2020 20:03:28;(none)

Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time
86;5,3330 A AC;25.08.2020 20:04:49,8;0:00:01,0;25.08.2020 20:04:50,7;5,3337 A AC;5,3331 A AC;25.08.2020 20:04:49,9;5,3329 A AC;Interval;25.08.2020 20:04:50,8
87;5,3337 A AC;25.08.2020 20:04:50,8;0:00:01,0;25.08.2020 20:04:51,3;5,3346 A AC;5,3341 A AC;25.08.2020 20:04:50,8;5,3337 A AC;Interval;25.08.2020 20:04:51,8
88;5,3343 A AC;25.08.2020 20:04:51,8;0:00:01,0;25.08.2020 20:04:52,7;5,3344 A AC;5,3342 A AC;25.08.2020 20:04:52,0;5,3340 A AC;Interval;25.08.2020 20:04:52,8
89;5,3368 A AC;25.08.2020 20:04:52,8;0:00:01,0;25.08.2020 20:04:53,1;5,3376 A AC;5,3368 A AC;25.08.2020 20:04:53,7;5,3357 A AC;Interval;25.08.2020 20:04:53,8
90;5,3345 A AC;25.08.2020 20:04:53,8;0:00:01,0;25.08.2020 20:04:54,5;5,3476 A AC;5,3397 A AC;25.08.2020 20:04:53,9;5,3338 A AC;Interval;25.08.2020 20:04:54,8
91;5,3476 A AC;25.08.2020 20:04:54,8;0:00:01,0;25.08.2020 20:04:55,7;5,3489 A AC;5,3478 A AC;25.08.2020 20:04:55,0;5,3471 A AC;Interval;25.08.2020 20:04:55,8
92;5,3492 A AC;25.08.2020 20:04:55,8;0:00:01,0;25.08.2020 20:04:56,1;5,3493 A AC;5,3485 A AC;25.08.2020 20:04:56,6;5,3478 A AC;Interval;25.08.2020 20:04:56,9
93;5,3482 A AC;25.08.2020 20:04:56,9;0:00:01,0;25.08.2020 20:04:57,3;5,3499 A AC;5,3492 A AC;25.08.2020 20:04:56,9;5,3482 A AC;Interval;25.08.2020 20:04:57,9
94;5,3493 A AC;25.08.2020 20:04:57,9;0:00:01,0;25.08.2020 20:04:58,3;5,3515 A AC;5,3485 A AC;25.08.2020 20:04:58,8;5,3379 A AC;Interval;25.08.2020 20:04:58,9
95;5,3372 A AC;25.08.2020 20:04:58,9;0:00:01,0;25.08.2020 20:04:59,8;5,3385 A AC;5,3373 A AC;25.08.2020 20:04:59,2;5,3366 A AC;Interval;25.08.2020 20:04:59,9
96;5,3384 A AC;25.08.2020 20:04:59,9;0:00:01,0;25.08.2020 20:05:00,3;5,3401 A AC;5,3396 A AC;25.08.2020 20:04:59,9;5,3384 A AC;Interval;25.08.2020 20:05:00,9
97;5,3399 A AC;25.08.2020 20:05:00,9;0:00:01,0;25.08.2020 20:05:00,9;5,3399 A AC;5,3394 A AC;25.08.2020 20:05:01,4;5,3385 A AC;Interval;25.08.2020 20:05:01,9
98;5,3394 A AC;25.08.2020 20:05:01,9;0:00:01,0;25.08.2020 20:05:02,1;5,3396 A AC;5,3394 A AC;25.08.2020 20:05:02,3;5,3391 A AC;Interval;25.08.2020 20:05:02,9
99;5,3393 A AC;25.08.2020 20:05:02,9;0:00:01,0;25.08.2020 20:05:02,9;5,3393 A AC;5,3391 A AC;25.08.2020 20:05:03,7;5,3390 A AC;Interval;25.08.2020 20:05:03,9
100;5,3390 A AC;25.08.2020 20:05:03,9;0:00:01,0;25.08.2020 20:05:03,9;5,3390 A AC;5,3389 A AC;25.08.2020 20:05:04,8;5,3387 A AC;Interval;25.08.2020 20:05:04,9
101;5,3365 A AC;25.08.2020 20:05:04,9;0:00:00,9;25.08.2020 20:05:05,7;5,3500 A AC;5,3419 A AC;25.08.2020 20:05:04,9;5,3365 A AC;Interval;25.08.2020 20:05:05,8
102;5,3500 A AC;25.08.2020 20:05:05,8;0:00:01,0;25.08.2020 20:05:06,6;5,3540 A AC;5,3518 A AC;25.08.2020 20:05:05,8;5,3500 A AC;Interval;25.08.2020 20:05:06,8
103;5,3529 A AC;25.08.2020 20:05:06,8;0:00:01,0;25.08.2020 20:05:07,6;5,3534 A AC;5,3519 A AC;25.08.2020 20:05:07,1;5,3504 A AC;Interval;25.08.2020 20:05:07,8
104;5,3535 A AC;25.08.2020 20:05:07,8;0:00:01,0;25.08.2020 20:05:07,8;5,3535 A AC;5,3517 A AC;25.08.2020 20:05:08,3;5,3500 A AC;Interval;25.08.2020 20:05:08,8
105;5,3530 A AC;25.08.2020 20:05:08,8;0:00:01,0;25.08.2020 20:05:08,8;5,3530 A AC;5,3516 A AC;25.08.2020 20:05:09,2;5,3501 A AC;Interval;25.08.2020 20:05:09,8
106;5,3513 A AC;25.08.2020 20:05:09,8;0:00:01,0;25.08.2020 20:05:09,8;5,3513 A AC;5,3506 A AC;25.08.2020 20:05:10,7;5,3482 A AC;Interval;25.08.2020 20:05:10,8
107;5,3495 A AC;25.08.2020 20:05:10,8;0:00:01,0;25.08.2020 20:05:11,1;5,3520 A AC;5,3437 A AC;25.08.2020 20:05:11,5;5,3342 A AC;Interval;25.08.2020 20:05:11,8
108;5,3368 A AC;25.08.2020 20:05:11,8;0:00:01,0;25.08.2020 20:05:12,6;5,3383 A AC;5,3369 A AC;25.08.2020 20:05:12,2;5,3347 A AC;Interval;25.08.2020 20:05:12,8
109;5,3362 A AC;25.08.2020 20:05:12,8;0:00:01,0;25.08.2020 20:05:13,6;5,3384 A AC;5,3366 A AC;25.08.2020 20:05:13,1;5,3348 A AC;Interval;25.08.2020 20:05:13,9
110;5,3361 A AC;25.08.2020 20:05:13,9;0:00:01,0;25.08.2020 20:05:14,3;5,3383 A AC;5,3371 A AC;25.08.2020 20:05:13,9;5,3361 A AC;Interval;25.08.2020 20:05:14,9
111;5,3363 A AC;25.08.2020 20:05:14,9;0:00:01,0;25.08.2020 20:05:15,7;5,3378 A AC;5,3370 A AC;25.08.2020 20:05:14,9;5,3363 A AC;Interval;25.08.2020 20:05:15,9
112;5,3391 A AC;25.08.2020 20:05:15,9;0:00:01,0;25.08.2020 20:05:16,1;5,3423 A AC;5,3408 A AC;25.08.2020 20:05:15,9;5,3391 A AC;Interval;25.08.2020 20:05:16,9
113;5,3419 A AC;25.08.2020 20:05:16,9;0:00:01,0;25.08.2020 20:05:17,8;5,3424 A AC;5,3415 A AC;25.08.2020 20:05:17,3;5,3397 A AC;Interval;25.08.2020 20:05:17,9
114;5,3407 A AC;25.08.2020 20:05:17,9;0:00:01,0;25.08.2020 20:05:18,4;5,3425 A AC;5,3407 A AC;25.08.2020 20:05:18,8;5,3383 A AC;Interval;25.08.2020 20:05:18,9
115;5,3397 A AC;25.08.2020 20:05:18,9;0:00:01,0;25.08.2020 20:05:19,8;5,3415 A AC;5,3404 A AC;25.08.2020 20:05:19,6;5,3394 A AC;Interval;25.08.2020 20:05:19,9
116;5,3416 A AC;25.08.2020 20:05:19,9;0:00:01,0;25.08.2020 20:05:20,7;5,3419 A AC;5,3409 A AC;25.08.2020 20:05:20,3;5,3393 A AC;Interval;25.08.2020 20:05:20,9
117;5,3414 A AC;25.08.2020 20:05:20,9;0:00:01,0;25.08.2020 20:05:21,4;5,3435 A AC;5,3421 A AC;25.08.2020 20:05:21,0;5,3404 A AC;Interval;25.08.2020 20:05:21,9
